CUSEC;DISTRITO;TIPO;Shape_Area;M2V;HMC;PSH;PSV;V5P;PTV5
5029703052;03;SECCION CENSAL;15455.9036869;63.3295910184443;26.8931715786367;2.19542253521127;2.35727788279773;18.2838813151564;6.61625708884688
5029703053;03;SECCION CENSAL;15118.8059838;68.784;27.8820900059027;2.29124236252546;2.45098039215686;20.4444444444444;8.06100217864924
5029703054;03;SECCION CENSAL;16432.5564852;75.5176110260337;29.7656171522753;2.32384341637011;2.51153846153846;19.9846860643185;7.88461538461539
5029703055;03;SECCION CENSAL;32804.9963392;72.1653306613226;29.3276241663734;2.27334851936219;2.4672435105068;19.8396793587174;7.91100123609394
5029703056;03;SECCION CENSAL;20675.4082177;62.0931558935361;24.4806417361055;2.32229580573951;2.53493975903614;24.4296577946768;9.87951807228916
5029703057;03;SECCION CENSAL;22205.057691;66.1383989145183;24.8572027311112;2.42833607907743;2.64631956912029;28.0189959294437;12.0287253141831
5029703058;03;SECCION CENSAL;14583.398322;66.282131661442;25.4180959694567;2.41057934508816;2.60762942779292;31.5569487983281;12.8065395095368
5029703060;03;SECCION CENSAL;17801.6511655;68.9645390070922;26.0652115181675;2.43103448275862;2.66037735849057;32.0035460992908;13.6792452830189
5029703061;03;SECCION CENSAL;19117.0343983;69.8480519480519;27.3170533029773;2.32277526395173;2.53706754530478;24.9350649350649;9.71993410214168
5029703062;03;SECCION CENSAL;24140.4526531;75.4496567505721;28.7741005581997;2.45850914205345;2.61676646706587;20.6521739130435;8.68263473053892
5029703063;03;SECCION CENSAL;22650.5843522;74.5453648915187;31.2133496905164;2.27354260089686;2.36915887850467;9.6646942800789;3.73831775700935
5029703064;03;SECCION CENSAL;28522.628865;88.4319526627219;35.6619577565934;2.34722222222222;2.46715328467153;7.10059171597633;2.91970802919708
5029703065;03;SECCION CENSAL;24738.1525421;78.1560071727436;30.9930699144818;2.30758620689655;2.49701492537313;10.1613867304244;4.17910447761194
5029703066;03;SECCION CENSAL;101618.868342;114.116518163125;43.4462256687668;2.5506993006993;2.59147424511545;0.0;0.0
5029703067;03;SECCION CENSAL;45864.0322248;87.4314185228605;34.0002186493982;2.43714285714286;2.56156156156156;14.126611957796;5.55555555555556
5029703068;03;SECCION CENSAL;49177.3269853;87.4026946107784;34.6056351582549;2.42468239564428;2.52551984877127;8.38323353293413;3.59168241965974
5029703069;03;SECCION CENSAL;28601.8579438;70.5884330867518;26.0842883110494;2.35284810126582;2.69872958257713;27.0342972427707;11.6152450090744
5029703070;03;SECCION CENSAL;19957.8867105;79.9052453468697;30.906558933577;2.35247524752475;2.58823529411765;18.8552188552189;7.18954248366013
5029703071;03;SECCION CENSAL;59903.8726074;91.3763313609468;36.8236832280837;2.38700564971751;2.50741839762611;9.70414201183432;4.15430267062315
5029703073;03;SECCION CENSAL;32050.6193474;96.6143533123028;39.8727869273146;2.33088235294118;2.4152380952381;3.54889589905363;1.52380952380952
